10	0.000178	1.124478E+09
20	0.001116	1.433644E+09
30	0.003917	1.378614E+09
40	0.009152	1.398611E+09
50	0.017919	1.395162E+09
60	0.031275	1.381293E+09
70	0.049320	1.390917E+09
80	0.077813	1.315977E+09
90	0.110058	1.324755E+09
100	0.135536	1.475621E+09
110	0.168459	1.580205E+09
120	0.201272	1.717079E+09
130	0.243182	1.806878E+09
140	0.299832	1.830358E+09
150	0.359790	1.876094E+09
160	0.423145	1.935979E+09
170	0.502813	1.954206E+09
180	0.583760	1.998081E+09
190	0.679703	2.018234E+09
200	0.788822	2.028341E+09
210	0.914751	2.024813E+09
220	1.045300	2.037310E+09
230	1.213968	2.004501E+09
240	1.372598	2.014283E+09
250	1.530628	2.041646E+09
260	1.732015	2.029543E+09
270	1.946604	2.022291E+09
280	2.161884	2.030821E+09
290	2.420083	2.015551E+09
300	2.663498	2.027409E+09
310	2.950385	2.019465E+09
320	3.322487	1.972498E+09
330	3.569580	2.013514E+09
340	3.889134	2.021221E+09
350	4.247489	2.018840E+09
360	4.655184	2.004475E+09
370	5.169617	1.959642E+09
380	5.497942	1.996092E+09
390	5.943748	1.996013E+09
400	6.367095	2.010336E+09
410	6.884623	2.002172E+09
420	7.643756	1.938523E+09
430	8.116229	1.959210E+09
440	8.739528	1.949396E+09
450	9.413496	1.936050E+09
460	9.919579	1.962503E+09
470	10.631521	1.953117E+09
480	11.380788	1.943486E+09
490	12.277795	1.916452E+09
500	12.858533	1.944234E+09
